bulgarian,english,french,irish,german,greek,spanish,swedish,italian,portuguese
IMAM NUZHDA OT HIMIKALKA,I NEED A PEN,JE BESOIN UN STYLO,TA PEANN AG TEASTAIL UAIM,ICH BRAUCHE EINEN STIFT,CHREIAZOMAI ENA STYLO,NECESITO UN BOLIGRAFO,JAG BEHOVER EN PENNA,HO BISOGNO DI UNA PENNA,VOU PRECISAR DE UMA CANETA
TRYABVA DA OTIDA DO TOALETNATA,I NEED TO GO TO THE TOILET,JE BESOIN POUR VA POUR LES TOILETTES,CAITHFIDH ME DUL GO DTI AN LEITHREAS,ICH MUSS AUF DIE TOILETTE,PREPEI NA PAO STIN TOUALETA,NECESITO IR AL BANO,JAG BEHOVER GA PA TOALETTEN,HO BISOGNO DI ANDARE IN BAGNO,EU PRECISO IR AO BANHEIRO
TRYABVA DA TRAGVAM,I HAVE TO GO,JE DOIS Y ALLER,CAITHFIDH ME IMEACHT,ICH MUSS GEHEN,PREPEI NA FYGO,TENGO QUE IR,JAG MASTE GA,DEVO ANDARE,EU TENHO QUE IR
ZLE MI E IMAM NUZHDA OT LEKAR,I FEEL BAD I NEED A DOCTOR,JE ME SENS MAL JE BESOIN DOCTEUR,MOTHAIM GO DONA TA DOCHTUIR AG TEASTAIL UAIM,"ICH FUHLE MICH SCHLECHT, ICH BRAUCHE EINEN ARZT",NIOTHO ASCHIMA CHREIAZOMAI GIATRO,ME SIENTO MAL NECESITO UNA DOCTORA,JAG MAR DALIGT ATT JAG BEHOVER EN LAKARE,MI SENTO MALE HO BISOGNO DI UN DOTTORE,ME SINTO MAL PRECISO DE UM MEDICO
TRYABVA DA NAUCHA BALGARSKI EZIK,I NEED TO LEARN THE BULGARIAN LANGUAGE,JAI BESOIN DAPPRENDRE LA LANGUE BULGARE,CAITHFIDH ME AN TEANGA BULGAIRIS A FHOGHLAIM,ICH MUSS DIE BULGARISCHE SPRACHE LERNEN,PREPEI NA MATHO TI VOULGARIKI GLOSSA,NECESITO APRENDER EL IDIOMA BULGARO,JAG MASTE LARA MIG DET BULGARISKA SPRAKET,DEVO IMPARARE LA LINGUA BULGARA,EU PRECISO APRENDER A LINGUA BULGARA
HARESVAM TOZI TSVYAT,I LIKE THIS COLOR,JE AIMER CETTE COULEUR,IS MAITH LIOM AN DATH SEO,ICH MAG DIESE FARBE,MOU ARESEI AFTO TO CHROMA,ME GUSTA ESTE COLOR,JAG GILLAR DEN HAR FARGEN,MI PIACE QUESTO COLORE,EU GOSTO DESSA COR
HARESVA MI DA GOTVYA,I LIKE TO COOK,JE AIMER CUISINER,IS MAITH LIOM A BHEITH AG COCAIREACHT,ICH MAG ES ZU KOCHEN,MOU ARESEI NA MAGEIREVO,ME GUSTA COCINAR,JAG GILLAR ATT LAGA MAT,MI PIACE CUCINARE,EU GOSTO DE COZINHAR
OBICHAM DA GLEDAM ZALEZA,I LOVE WATCHING THE SUNSET,JE AMOUR REGARDER LE COUCHER DU SOLEIL,IS BREA LIOM FEACHAINT AR LUI NA GREINE,"ICH LIEBE ES, DEN SONNENUNTERGANG ZU BEOBACHTEN",MOU ARESEI NA VLEPO TO ILIOVASILEMA,ME ENCANTA VER EL ATARDECER,JAG ALSKAR ATT TITTA PA SOLNEDGANGEN,ADORO GUARDARE IL TRAMONTO,ADORO VER O POR DO SOL
OBICHAM DA SE RAZHOZHDAM VECHER,I LIKE TO GO FOR A WALK IN THE EVENING,JE AIMER ME PROMENER LE SOIR,IS MAITH LIOM DUL AG SIUL TRATHNONA,ABENDS GEHE ICH GERNE SPAZIEREN,MOU ARESEI NA PIGAINO MIA VOLTA TO VRADY,ME GUSTA SALIR A CAMINAR POR LA TARDE,JAG GILLAR ATT GA EN PROMENAD PA KVALLEN,MI PIACE FARE UNA PASSEGGIATA LA SERA,EU GOSTO DE DAR UM PASSEIO A NOITE
OBOZHAVAM TOZI SLADKISH,I LOVE THIS CAKE,JE AMOUR CETTE GATEAU,IS BREA LIOM AN CACA SEO,ICH LIEBE DIESEN KUCHEN,LATREVO AFTO TO KEIK,ME ENCANTA ESTE PASTEL,JAG ALSKAR DEN HAR TARTAN,ADORO QUESTA TORTA,EU AMO ESSE BOLO
OBOZHAVAM DA HODYA NA SLADKARNITSA,I LOVE GOING TO THE PASTRY SHOP,JADORE ALLER A LA PATISSERIE,IS BREA LIOM DUL GO DTI AN SIOPA TAOSRAIN,ICH GEHE GERNE IN DIE KONDITOREI,MOU ARESEI NA PIGAINO STO ZACHAROPLASTEIO,ME ENCANTA IR A LA PASTELERIA,JAG ALSKAR ATT GA TILL KONDITORIET,ADORO ANDARE IN PASTICCERIA,ADORO IR A PASTELARIA
MOLYA ZATVORETE VRATATA,CLOSE THE DOOR PLEASE,FERMEZ LA PORTE SIL VOUS PLAIT,DUN AN DORAS LE DO THOIL,BITTE DIE TURE SCHLIESSEN,KLEISE TIN PORTA PARAKALO,CIERRA LA PUERTA POR FAVOR,STANG DORREN TACK,CHIUDI LA PORTA PER FAVORE,FECHE A PORTA POR FAVOR
MOGA LI DA VI POMOLYA DA ZATVORITE VRATATA,MAY I ASK YOU TO CLOSE THE DOOR,PUIS JE VOUS DEMANDER DE FERMER LA PORTE,GO N-IARRFAINN ORT AN DORAS A DHUNADH,"DARF ICH SIE BITTEN, DIE TUR ZU SCHLIESSEN",BORO NA SAS ZITISO NA KLEISETE TIN PORTA,PUEDO PEDIRTE QUE CIERRES LA PUERTA,FAR JAG BE DIG STANGA DORREN,POSSO CHIEDERTI DI CHIUDERE LA PORTA,POSSO PEDIR-LHE PARA FECHAR A PORTA
MOZHE LI TAZI YABALKA MOLYA,MAY I HAVE THIS APPLE PLEASE,PUIS JE AVOIR CETTE POMME SIL VOUS PLAIT,GO MBEIDH AN T-ULL SEO AGAM LE DO THOIL,DARF ICH BITTE DIESEN APFEL HABEN,BORO NA ECHO AFTO TO MILO PARAKALO,PUEDO TENER ESTA MANZANA POR FAVOR,KAN JAG FA DET HAR APPLET TACK,POSSO AVERE QUESTA MELA PER FAVORE,POSSO TER ESTA MACA POR FAVOR
MOZHE LI EDIN KILOGRAM KARTOFI MOLYA,MAY I HAVE ONE KILOGRAM OF POTATOES PLEASE,PUIS JE AVOIR UN KILOGRAMME DE POMMES DE TERRE SIL VOUS PLAIT,GO MBEADH CILEAGRAM AMHAIN PRATAI AGAM LE DO THOIL,DARF ICH BITTE EIN KILO KARTOFFELN HABEN,SAS PARAKALO NA ECHO ENA KILO PATATES,PUEDO TENER UN KILOGRAMO DE PAPAS POR FAVOR,FAR JAG FA ETT KILO POTATIS TACK,POSSO AVERE UN CHILOGRAMMO DI PATATE PER FAVORE,POSSO TER UM QUILO DE BATATAS POR FAVOR
MOZHE LI DVA HLYABA MOLYA,MAY I HAVE TWO LOAVES OF BREAD PLEASE,PUIS JE AVOIR DEUX MICHES DE PAIN SIL VOUS PLAIT,"GO MBEADH DHA BHUILIN ARAIN AGAM, LE DO THOIL",DARF ICH BITTE ZWEI BROTE HABEN,SAS PARAKALO NA ECHO DYO KARVELIA PSOMI,"PUEDO TENER DOS HOGAZAS DE PAN, POR FAVOR",FAR JAG TVA BROD SNALLA,POSSO AVERE DUE PAGNOTTE PER FAVORE,POSSO TER DOIS PAES POR FAVOR
IZVINETE KOLKO E CHASAT,EXCUSE ME WHATS THE TIME,EXCUSEZ MOI QUELLE HEURE EST IL,GABH MO LEITHSCEAL CAD E AN T-AM,"ENTSCHULDIGUNG, WIE SPAT IST ES",ME SYNCHOREITE TI ORA EINAI,DISCULPE QUE HORA ES,URSAKTA VAD AR KLOCKAN,MI SCUSI CHE ORE SONO,COM LICENCA QUE HORAS SAO
IZVINETE MOZHE LI DA MI POMOGNETE,EXCUSE ME CAN YOU HELP ME,EXCUSEZ MOI POUVEZ VOUS MAIDER,GABH MO LEITHSCEAL AN FEIDIR LEAT CABHRU LIOM,"ENTSCHULDIGUNG, KONNEN SIE MIR HELFEN","SYNGNOMI, BOREITE NA ME VOITHISETE",DISCULPE PUEDE AYUDARME,URSAKTA KAN DU HJALPA MIG,"MI SCUSI, MI PUO AIUTARE",LICENCA VOCE PODE ME AJUDAR
IZVINETE TOVA MYASTO SVOBODNO LI E,EXCUSE ME IS THIS SEAT FREE,EXCUSEZ MOI EST CE QUE CETTE PLACE EST LIBRE,GABH MO LEITHSCEAL AN BHFUIL AN SUIOCHAN SEO SAOR,BITTE ENTSCHULDIGEN SIE! IST DER PLATZ FREI,"ME SYNCHOREITE, AFTI I THESI EINAI ELEFTHERI","DISCULPE, ESTA ESTE ASIENTO LIBRE",URSAKTA MIG AR DENNA PLATS LEDIG,"MI SCUSI, QUESTO POSTO E LIBERO",COM LICENSA ESTE LUGAR ESTA LIVRE
IZVINETE KADE SE NAMIRA KATEDRALATA,EXCUSE ME WHERE IS THE CATHEDRAL,EXCUSEZ MOI OU EST LA CATHEDRALE,GABH MO LEITHSCEAL CA BHFUIL AN ARDEAGLAIS,"ENTSCHULDIGUNG, WO IST DIE KATHEDRALE",ME SYNCHOREITE POU EINAI O KATHEDRIKOS NAOS,DISCULPE DONDE ESTA LA CATEDRAL,URSAKTA VAR AR KATEDRALEN,MI SCUSI DOV'E LA CATTEDRALE,COM LICENCA ONDE FICA A CATEDRAL
IZVINETE TOVA VASHE LI E,EXCUSE ME IS THAT YOURS,EXCUSEZ MOI CEST LE VOTRE,GABH MO LEITHSCEAL GUR LEATSA E,"ENTSCHULDIGUNG, DAS IST DEINS",ME SYNCHOREITE EINAI DIKO SAS,DISCULPA ES TUYO,URSAKTA MIG AR DET DIN,MI SCUSI E QUELLO TUO,COM LICENCA E O SEU
IZVINETE GOVORITE LI ANGLIYSKI,EXCUSE ME DO YOU SPEAK ENGLISH,EXCUSEZ MOI PARLEZ VOUS ANGLAIS,GABH MO LEITHSCEAL AN BHFUIL BEARLA AGAT,ENTSCHULDIGEN SIE SPRECHEN SIE ENGLISCH,ME SYNCHOREITE MILATE ANGLIKA,PERDON HABLA USTED INGLES,URSAKTA MIG PRATAR DU ENGELSKA,"MI SCUSI, PARLA INGLESE",COM LICENCA VOCE FALA INGLES
KAKVO E TOVA,WHAT IS THIS,QUEST CE QUE CEST,CAD E SEO,WAS IST DAS,TI EINAI AFTO,QUE ES ESTO,VAD AR DETTA,COS'E QUESTO,O QUE E ISSO
KAKVO E VREMETO DNES,WHAT IS THE WEATHER TODAY,QUEL TEMPS FAIT IL AUJOURD HUI,CAD E AN AIMSIR INNIU,WIE IST DAS WETTER HEUTE,POS EINAI O KAIROS SIMERA,COMO ESTA EL CLIMA HOY,VAD AR DET FOR VADER IDAG,COM'E IL TEMPO OGGI,COMO ESTA O TEMPO HOJE
KAKVO BESHE VREMETO VCHERA,WHAT WAS THE WEATHER YESTERDAY,QUEL TEMPS FAISAIT IL HIER,CAD A BHI AN AIMSIR INNE,WIE WAR DAS WETTER GESTERN,TI KAIRO EKANE CHTHES,QUE TIEMPO HIZO AYER,VILKET VADER VAR DET IGAR,COM'ERA IL TEMPO IERI,COMO ESTAVA O TEMPO ONTEM
KAKVO SHTE BADE VREMETO UTRE,WHAT WILL THE WEATHER BE LIKE TOMORROW,COMMENT SERA LE TEMPS DEMAIN,CONAS A BHEIDH AN AIMSIR AMARACH,WIE WIRD DAS WETTER MORGEN,POS THA EINAI O KAIROS AVRIO,COMO SERA EL CLIMA MANANA,HUR KOMMER VADRET SE UT IMORGON,COME SARA IL TEMPO DOMANI,COMO E QUE O TEMPO ESTARA AMANHA
KAKVO OBICHASH DA YADESH,WHAT DO YOU LIKE TO EAT,QUEST CE QUE TU AIMES MANGER,CAD IS MAITH LEAT A ITHE,WAS MOCHTEN SIE ESSEN,TI SAS ARESEI NA TROTE,QUE TE GUSTA COMER,VAD GILLAR DU ATT ATA,COSA TI PIACE MANGIARE,O QUE VOCE GOSTA DE COMER
KAKVO OBICHASH DA NOSISH,WHAT DO YOU LIKE TO WEAR,QUEST CE QUE TU AIMES PORTER,CAD IS MAITH LEAT A CHAITHEAMH,WAS ZIEHST DU GERN AN,TI THA ITHELES NA FORESEIS,QUE TE GUSTA USAR,VAD GILLAR DU ATT HA PA DIG,COSA TI PIACE INDOSSARE,O QUE VOCE GOSTA DE USAR
KAKVO DA NAPRAVYA ZA TEB,WHAT CAN I DO FOR YOU,QUE PUIS JE FAIRE POUR VOUS,CAD IS FEIDIR LIOM A DHEANAMH AR DO SHON,WAS KANN ICH FUR DICH TUN,TI BORO NA KANO GIA SENA,QUE PUEDO HACER POR TI,VAD KAN JAG HJALPA DIG MED,COSA POSSO FARE PER LEI,O QUE POSSO FAZER PARA VOCE
KOGA SI RODEN,WHEN WERE YOU BORN,QUAND ETES VOUS NE,CATHAIN A RUGADH TU,WANN BIST DU GEBOREN,POTE GENNITHIKES,CUANDO NACISTE,NAR FODDES DU,QUANDO SEI NATO,QUANDO VOCE NASCEU
KOGA E ROZHDENIYAT TI DEN,WHEN IS YOUR BIRTHDAY,CEST QUAND VOTRE ANNIVERSAIRE,CATHAIN A BHFUIL DO BHREITHLA,WANN IST DEIN GEBURTSTAG,POTE EINAI TA GENETHLIA SOU,CUANDO ES TU CUMPLEANOS,NAR FYLLER DU AR,QUAND'E IL TUO COMPLEANNO,QUANDO E SEU ANIVERSARIO
KOGA SHTE SE VIDIM PAK,WHEN WILL I SEE YOU AGAIN,QUAND TE REVERRAI JE,CATHAIN A FHEICIM ARIS THU,WANN WERDE ICH DICH WIEDERSEHEN,POTE THA SE XANADO,CUANDO VOY A VERTE DE NUEVO,NAR SER JAG DIG IGEN,QUANDO TI RIVEDRO,QUANDO VOU TE VER DE NOVO
KOGA E SRESHTATA NI,WHEN IS OUR MEETING,A QUAND NOTRE RENDEZ VOUS,CATHAIN A BHIONN AR GCRUINNIU,WANN IST UNSER TREFFEN,POTE EINAI I SYNANTISI MAS,CUANDO ES NUESTRA REUNION,NAR AR VART MOTE,QUANDO E IL NOSTRO INCONTRO,QUANDO E NOSSO ENCONTRO
KOGA PRISTIGA SAMOLETAT,WHEN IS THE PLANE ARRIVING,QUAND EST CE QUE LAVION ARRIVE,CATHAIN ATA AN T-EITLEAN AG TEACHT,WANN KOMMT DAS FLUGZEUG,POTE FTANEI TO AEROPLANO,CUANDO LLEGA EL AVION,NAR KOMMER PLANET,QUANDO ARRIVA L'AEREO,QUANDO O AVIAO CHEGA
KADE ZHIVEESH,WHERE DO YOU LIVE,OU HABITEZ VOUS,CA BHFUIL TU I DO CHONAI,WO WOHNST DU,POU MENEIS,DONDE VIVE,VAR BOR DU,DOVE VIVI,ONDE VOCE MORA
KADE E ASANSYORAT,WHERE IS THE ELEVATOR,OU EST LASCENSEUR,CA BHFUIL AN T-ARDAITHEOIR,WO IST DER AUFZUG,POU EINAI TO ASANSER,DONDE ESTA LA ELEVADORA,VAR AR HISSEN,DOV'E L'ASCENSORE,ONDE FICA O ELEVADOR
KADE E TOALETNATA,WHERE IS THE RESTROOM,OU SONT LES TOILETTES,CA BHFUIL AN LEITHREAS,WO IST DIE TOILETTE,POU EINAI I TOUALETA,DONDE ESTA EL BANO,VAR AR TOALETTEN,DOV'E LA TOILETTE,ONDE E O BANHEIRO
KADE SE NAMIRA TVOYAT RODEN GRAD,WHERE IS YOUR HOMETOWN LOCATED,OU SE SITUE VOTRE VILLE NATALE,CA BHFUIL DO BHAILE DUCHAIS SUITE,WO LIEGT DEINE HEIMATSTADT,POU VRISKETAI I PATRIDA SAS,DONDE SE ENCUENTRA SU CIUDAD NATAL,VAR LIGGER DIN HEMSTAD,DOVE SI TROVA LA TUA CITTA NATALE,ONDE FICA SUA CIDADE NATAL
KADE E TSENTARAT NA GRADA,WHERE IS THE CITY CENTER,OU EST LE CENTRE VILLE,CA BHFUIL LAR NA CATHRACH,WO IST DAS STADTZENTRUM,POU EINAI TO KENTRO TIS POLIS,DONDE ESTA EL CENTRO DE LA CIUDAD,VAR LIGGER CENTRUM,DOV'E IL CENTRO DELLA CITTA,ONDE FICA O CENTRO DA CIDADE
TOVA E ANTON TOY E STUDENT,THIS IS ANTON HE IS A STUDENT,CEST ANTON IL EST ETUDIANT,SEO ANTON IS MAC LEINN E,DAS IST ANTON. ER IST STUDENT,AFTOS EINAI O ANTON EINAI FOITITIS,ESTE ES ANTON ES UN ESTUDIANTE,DET HAR AR ANTON. HAN AR STUDENT,QUESTO E ANTON E UNO STUDENTE,ESTE E O ANTON ELE E UM ESTUDANTE
ANTON E DOBAR STUDENT I MOY BLIZAK PRIYATEL,ANTON IS A GOOD STUDENT AND MY CLOSE FRIEND,ANTON EST UN BON ELEVE ET MON AMI PROCHE,IS MAC LEINN MAITH E ANTON AGUS MO DHLUTHCHARA,ANTON IST EIN GUTER SCHULER UND MEIN ENGER FREUND,O ANTON EINAI KALOS MATHITIS KAI STENOS MOU FILOS,ANTON ES UNA BUENA ESTUDIANTE Y MI AMIGA CERCANA,ANTON AR EN BRA ELEV OCH MIN NARA VAN,ANTON E UN BRAVO STUDENTE E MIO CARO AMICO,ANTON E UM BOM ALUNO E MEU AMIGO INTIMO
ISKAM DA ZADAM VAPROS,I WANT TO ASK A QUESTION,JE VEUX POSER UNE QUESTION,BA MHAITH LIOM CEIST A CHUR,ICH MOCHTE EINE FRAGE STELLEN,THELO NA KANO MIA EROTISI,QUIERO HACER UNA PREGUNTA,JAG VILL STALLA EN FRAGA,VOGLIO FARE UNA DOMANDA,EU QUERO FAZER UMA PERGUNTA
OBICHAM DA PIYA PORTOKALOV SOK,I LOVE TO DRINK ORANGE JUICE,JAIME BOIRE DU JUS DORANGE,IS BREA LIOM SU ORAISTE A OL,ICH TRINKE GERNE ORANGENSAFT,MOU ARESEI NA PINO CHYMO PORTOKALIOU,ME ENCANTA BEBER JUGO DE NARANJA,JAG ALSKAR ATT DRICKA APELSINJUICE,ADORO BERE IL SUCCO D'ARANCIA,EU AMO BEBER SUCO DE LARANJA
MOZHE LI EDIN KILOGRAM MORKOVI MOLYA,MAY I HAVE ONE KILOGRAM OF CARROTS PLEASE,PUIS JE AVOIR UN KILO DE CAROTTES SIL VOUS PLAIT,B'FHEIDIR GO MBEADH CILEAGRAM CAIREID AGAM LE DO THOIL,DARF ICH BITTE EIN KILO KAROTTEN HABEN,SAS PARAKALO NA ECHO ENA KILO KAROTA,"PUEDO TENER UN KILOGRAMO DE ZANAHORIAS, POR FAVOR",FAR JAG FA ETT KILO MOROTTER TACK,POSSO AVERE UN CHILOGRAMMO DI CAROTE PER FAVORE,"POSSO TER UM QUILO DE CENOURA, POR FAVOR"
MOZHE LI EDIN PAKET SOL MOLYA,MAY I HAVE ONE SALT PACKET PLEASE,PUIS JE AVOIR UN PAQUET DE SEL SIL VOUS PLAIT,GO MBEADH PAICEAD SALAINN AMHAIN AGAM LE DO THOIL,"DARF ICH BITTE EIN SALZPACKCHEN HABEN
",BORO NA ECHO ENA PAKETO ALATI PARAKALO,PUEDO TENER UN PAQUETE DE SAL POR FAVOR,FAR JAG HA ETT SALTPAKET TACK,POSSO AVERE UN PACCHETTO DI SALE PER FAVORE,POSSO TER UM PACOTE DE SAL POR FAVOR
